cat,chi2,mass,order,preNll,proc,thisNll
ggHcat0,0.6722362040115148,125.0,3.0,8149.120881823234,ggH,8149.031383079986
ggHcat0,0.29526789141267895,125.0,2.0,547.8848219896938,qqH,547.33709943835
ggHcat1,0.254037589168409,125.0,3.0,16955.299832310375,ggH,16954.649351340977
ggHcat1,0.17110637886786362,125.0,2.0,799.7611933925956,qqH,798.8245817941038
ggHcat2,0.24242710181669636,125.0,3.0,14499.991305586003,ggH,14499.308093180985
ggHcat2,0.15154443805721998,125.0,2.0,654.6344116942521,qqH,653.6060938585093
ggHcat3,0.38014940175105816,125.0,3.0,5522.918412569471,ggH,5522.533303215454
ggHcat3,0.17000415158700455,125.0,2.0,448.4349421637486,qqH,447.49348882173086
VBFcat0,0.34003624807353383,125.0,2.0,301.94249688098427,ggH,301.4873495495352
VBFcat0,0.3574729625444014,125.0,2.0,386.1502367734704,qqH,385.7268610456442
VBFcat1,0.4141424887324401,125.0,2.0,119.50827979217503,ggH,119.1748412040345
VBFcat1,0.43133058138163327,125.0,2.0,257.65418247948656,qqH,257.3445634666898
VBFcat2,0.44196864937795266,125.0,2.0,150.99350621140863,ggH,150.6979232913651
VBFcat2,0.12260128246190005,125.0,2.0,595.0324359956343,qqH,593.8405505255399
